,put_oi_total,put_cog,put_disp,put_otm_share,put_far_share,put_wall,put_front_share,put_churn,put_oi_growth,put_cog_chg,put_far_chg
2009-01-05,187597.0,-0.1317481604306067,0.09312113711842408,0.9503670101334243,0.8632547428796836,-0.23376703538080723,0.8719595729142791,0.5474661108653124,,,
2009-01-06,202596.0,-0.13187627261840792,0.09117918103935722,0.9635925684613714,0.8432989792493435,-0.2384594881601605,0.8773815870007305,0.3677367766392229,0.07691780331001219,-0.00012811218780123257,-0.01995576363034013
2009-01-07,215926.0,-0.13612787703449503,0.08998176496901561,0.9597362059223994,0.8923566407009809,-0.2484091326641391,0.8782592184359457,0.40842696108852106,0.06372190811026712,-0.004251604416087101,0.04905766145163737
2009-01-08,217795.0,-0.09231312122365945,0.09671559873568902,0.9123946830735324,0.7460455933331803,-0.20631246155575989,0.8641474781331068,0.6742946348630593,0.008618497000885128,0.043814755810835576,-0.14631104736780054
2009-01-09,231627.0,-0.087654363302348,0.09517953249915834,0.9180276910722843,0.6715711035414696,-0.20048681469505236,0.8577497442008056,0.498447935689708,0.061574065820556356,0.004658757921311443,-0.07447448979171067
2009-01-10,233701.0,-0.08313900608797038,0.09465383810528964,0.8662650138424739,0.6940192810471499,-0.19418560143972163,0.8553707515158258,0.5045549655328817,0.008914201311050363,0.004515357214377624,0.02244817750568029
2009-01-12,244296.0,-0.07948207194792835,0.09289798391859992,0.8739971182499918,0.6927620591413695,-0.05700621926850613,0.8594737531519141,0.4335642008055801,0.04433808429233288,0.003656934140042034,-0.0012572219057804812
2009-01-13,257470.0,-0.09635438052693582,0.08945179822814901,0.9343224453334369,0.7983648580417136,-0.07333045036140107,0.8495785916805841,0.47735270128558666,0.052522603644055366,-0.01687230857900747,0.10560279890034419
2009-01-14,269478.0,-0.09242301494889721,0.0886960348683552,0.9366256243552349,0.6743704495357692,-0.11533196062342566,0.8343538248020247,0.4264949272296811,0.04558354590166047,0.003931365578038609,-0.12399440850594445
2009-01-15,267031.0,-0.0578553631005222,0.0967783082184544,0.8148978957499317,0.6315596316532538,-0.07423908238577859,0.7903426942939209,0.6918260426692032,-0.00912199783434886,0.03456765184837501,-0.042810817882515395
2009-01-16,273674.0,-0.06630965918107039,0.09474002193478785,0.8265783377302922,0.6369293392868888,-0.0812412430805981,0.7800083310800442,0.4273917142293386,0.02457286048530527,-0.008454296080548186,0.005369707633634979
