rep,panel,basket,variant,SR_IS,SR_OOS1,SR_OOS2,full_SR_net,full_SR_of_SR,full_positive_years,full_n_years,full_beta,full_abs_exec_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
0,monthly,callEW,c2c,0.3753789203715708,0.059085803249276383,0.6046002067944546,0.35828892450126765,0.36877742367889216,0.5555555555555556,18,0.14529257534243423,0.19268516158994367,0.754,False,False,True,False,True,1,False
0,monthly,combEW,c2c,1.4102919629281192,0.5304613681247481,0.08210807398405612,0.7246373710932843,0.8446629890860826,0.6666666666666666,18,0.017378084171769257,0.10607475421023843,0.164,True,True,True,False,True,3,False
0,monthly,putEW,c2c,0.4290327152482403,0.6278211839427372,0.27322897021061016,0.4332691305400503,0.4972127535374562,0.6111111111111112,18,0.13446097039232702,0.1593171915961328,0.844,False,False,True,False,True,1,False
0,monthly,allEW,c2c,0.7792649100036211,0.49623380561397323,0.4957099588536185,0.6020934323595739,0.732637316513707,0.7777777777777778,18,0.0961110444594984,0.10779455365543399,0.892,True,True,True,False,True,3,False
0,monthly,callEW,o2o,0.42193004690915764,0.08605826245771053,0.6260728061563863,0.3779865362991443,0.4235925787782139,0.7222222222222222,18,0.13233948412904814,0.19268516158994367,0.687,False,True,True,False,True,2,False
0,monthly,combEW,o2o,1.315102779632517,0.37115993348413345,-0.13662569561232032,0.5976935138021506,0.6775119665223349,0.6666666666666666,18,0.014140627347321596,0.10607475421023843,0.133,True,True,True,True,True,4,True
0,monthly,putEW,o2o,0.512798239169059,0.4398488225129248,0.5624162397747227,0.5068002415891324,0.5495818383953046,0.8333333333333334,18,0.08690505652475568,0.13199641411897095,0.658,False,True,True,False,True,2,False
0,monthly,allEW,o2o,0.8683803511832882,0.36204523369261343,0.6043035884521625,0.6468668221151328,0.7941370576042884,0.7777777777777778,18,0.07551508033627809,0.102933513080166,0.734,True,True,True,False,True,3,False
0,monthly,callEW,day,0.6193597094387966,0.4435112764910566,-0.5148766542188452,0.25980574747684243,0.3745074403972027,0.6666666666666666,18,0.11058903918179824,0.15051525616703565,0.735,False,True,True,False,True,2,False
0,monthly,combEW,day,1.077235455491726,0.21149837741304495,0.07032874072597203,0.5558588828084225,0.5625688084276319,0.7222222222222222,18,0.019753526481931807,0.10608256455560162,0.186,False,True,True,False,True,2,False
0,monthly,putEW,day,0.6089067994653886,-0.16762796541801525,-0.4204236778019516,0.1651621115331485,0.2021792353497574,0.6111111111111112,18,0.04967147896201885,0.11930286205006885,0.416,False,False,True,False,True,1,False
0,monthly,allEW,day,0.996089635604391,0.3374996687474405,-0.39173655948291025,0.46992112376964584,0.47741873633963994,0.6111111111111112,18,0.05858923743900587,0.09111081668316212,0.643,False,False,True,False,True,1,False
0,all,callEW,c2c,0.42068990847006144,-0.05681546420066597,0.8084148659297651,0.4127584948179151,0.24123476213921105,0.5555555555555556,18,0.12308840269633964,0.1678823460717989,0.733,False,False,True,False,True,1,False
0,all,combEW,c2c,1.0680245891627889,0.748389335578551,0.2065724908962649,0.6867140065778802,0.8341888779807812,0.8333333333333334,18,0.022753879601959116,0.09749659012196708,0.233,True,True,True,False,True,3,False
0,all,putEW,c2c,0.29925118654571664,0.48374307704963204,0.3016283726580988,0.34289338730505775,0.3485124529851339,0.7222222222222222,18,0.05611143993893619,0.13345233331868978,0.42,False,True,True,False,True,2,False
